CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
ALBERTSDESSERTS LTD,14595657,,,8A WEST STREET,,MORECAMBE,,UNITED KINGDOM,LA3 1RB,Private Limited Company,Active,United Kingdom,,16/01/2023,31,1,16/10/2024,,NO ACCOUNTS FILED,13/02/2024,,0,0,0,0,56103 - Take-away food shops and mobile food stands,,,,0,0,http://business.data.gov.uk/id/company/14595657,,,,,,,,,,,,,,,,,,,,,29/01/2024,
ALD TRANSPORT LIMITED,11186722,,,1 LAPWING CLOSE,HEYSHAM,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2DB,Private Limited Company,Active,United Kingdom,,05/02/2018,28,2,30/11/2024,28/02/2023,MICRO ENTITY,05/03/2019,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/11186722,,,,,,,,,,,,,,,,,,,,,18/02/2024,04/02/2023
ALEX WILLIS FUNERAL HOME LIMITED,4227429,,,2 MIDDLETON ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 2QD,Private Limited Company,Active,United Kingdom,,01/06/2001,31,3,31/12/2024,31/03/2023,TOTAL EXEMPTION FULL,04/12/2016,06/11/2015,0,0,0,0,96030 - Funeral and related activities,,,,0,0,http://business.data.gov.uk/id/company/04227429,,,,,,,,,,,,,,,,,,,,,20/11/2023,06/11/2022
ALFIE ORDONEZ PLUMBING & HEATING LTD,6751935,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,18/11/2008,31,1,31/10/2023,31/01/2022,TOTAL EXEMPTION FULL,16/12/2016,18/11/2015,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id/company/06751935,28/01/2011,A ORDONEZ PLUMBING LTD,,,,,,,,,,,,,,,,,,,02/12/2023,18/11/2022
ALJIAN LIMITED,13639477,,,2  OAKVILE ROAD HEYSHAM,,MORECAMBE,,ENGLAND,LA3 2TB,Private Limited Company,Active,United Kingdom,,23/09/2021,30,9,30/06/2024,30/09/2022,DORMANT,21/10/2022,,0,0,0,0,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/13639477,,,,,,,,,,,,,,,,,,,,,06/10/2023,22/09/2022
ALL POWERWASH SOLUTIONS LTD,13921098,,,2 DREWTON AVENUE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1NU,Private Limited Company,Active,United Kingdom,,16/02/2022,28,2,16/11/2023,,NO ACCOUNTS FILED,16/03/2023,,0,0,0,0,81222 - Specialised cleaning services,,,,0,0,http://business.data.gov.uk/id/company/13921098,,,,,,,,,,,,,,,,,,,,,29/02/2024,15/02/2023
ALL SEASONS PAVING LIMITED,6583397,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,02/05/2008,31,5,28/02/2025,31/05/2023,TOTAL EXEMPTION FULL,30/05/2017,02/05/2016,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/06583397,,,,,,,,,,,,,,,,,,,,,16/05/2024,02/05/2023
ALPHA ENGRAVING LIMITED,9183441,,,UNIT 4,SOUTHGATE,MORECAMBE,LANCASHIRE,,LA3 3PB,Private Limited Company,Active,United Kingdom,,20/08/2014,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,17/09/2016,20/08/2015,0,0,0,0,71129 - Other engineering activities,,,,0,0,http://business.data.gov.uk/id/company/09183441,,,,,,,,,,,,,,,,,,,,,21/12/2023,07/12/2022
ALPHA SHEET METAL LIMITED,4462438,,,UNIT 3/15,VICKERS INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3EN,Private Limited Company,Active,United Kingdom,,17/06/2002,31,12,30/09/2024,31/12/2022,UNAUDITED ABRIDGED,21/07/2017,23/06/2016,0,0,0,0,25110 - Manufacture of metal structures and parts of structures,,,,0,0,http://business.data.gov.uk/id/company/04462438,,,,,,,,,,,,,,,,,,,,,07/07/2024,23/06/2023
ALTHAMS CATERING BUTCHERS LIMITED,3731546,,,NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3AY,Private Limited Company,Active,United Kingdom,,11/03/1999,31,3,31/12/2023,31/03/2022,GROUP,08/04/2017,11/03/2016,0,0,0,0,10130 - Production of meat and poultry meat products,,,,0,0,http://business.data.gov.uk/id/company/03731546,,,,,,,,,,,,,,,,,,,,,24/03/2024,10/03/2023
ALTHAMS FINE FOODS LTD,9801268,,,NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3AY,Private Limited Company,Active,United Kingdom,,30/09/2015,31,3,31/12/2023,31/03/2022,TOTAL EXEMPTION FULL,28/10/2016,,2,2,0,0,10850 - Manufacture of prepared meals and dishes,,,,0,0,http://business.data.gov.uk/id/company/09801268,15/02/2016,JARAM LIMITED,,,,,,,,,,,,,,,,,,,13/10/2023,29/09/2022
ALWINTON LTD,13857410,,,18 LORDSOME ROAD,,MORECAMBE,,,LA3 1JB,Private Limited Company,Active,United Kingdom,,19/01/2022,31,1,31/10/2024,31/01/2023,MICRO ENTITY,16/02/2023,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/13857410,,,,,,,,,,,,,,,,,,,,,01/02/2024,18/01/2023
AMIVADUM LTD,14116975,,,18 LORDSOME ROAD,,MORECAMBE,,,LA3 1JB,Private Limited Company,Active,United Kingdom,,19/05/2022,31,5,19/02/2024,,NO ACCOUNTS FILED,16/06/2023,,0,0,0,0,43390 - Other building completion and finishing,,,,0,0,http://business.data.gov.uk/id/company/14116975,,,,,,,,,,,,,,,,,,,,,01/06/2024,18/05/2023
AMR LEISURE LIMITED,14553027,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3PA,Private Limited Company,Active,United Kingdom,,21/12/2022,31,12,21/09/2024,,NO ACCOUNTS FILED,18/01/2024,,0,0,0,0,56101 - Licensed restaurants,,,,0,0,http://business.data.gov.uk/id/company/14553027,,,,,,,,,,,,,,,,,,,,,03/01/2024,
AMRAP FITNESS MEALS LTD,12270387,,,"C/O BLEND ACCOUNTANTS, FIRST FLOOR BRUNEL HOUSE,",9 PENROD WAY,HEYSHAM,,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,18/10/2019,31,10,31/07/2024,31/10/2022,MICRO ENTITY,15/11/2020,,0,0,0,0,10850 - Manufacture of prepared meals and dishes,,,,0,0,http://business.data.gov.uk/id/company/12270387,15/07/2021,REPLENISH KITCHEN LTD,08/10/2020,RETREAT ESCAPES LIMITED,,,,,,,,,,,,,,,,,27/10/2023,13/10/2022
ANDERSEN'S KITCHEN DESIGN LIMITED,9376926,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE,9 PENROD WAY,HEYSHAM,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,07/01/2015,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,04/02/2017,07/01/2016,0,0,0,0,74100 - specialised design activities,,,,0,0,http://business.data.gov.uk/id/company/09376926,,,,,,,,,,,,,,,,,,,,,15/12/2023,01/12/2022
ANDREW BAXENDALE DECORATING LIMITED,11627826,,,68 STANLEY ROAD,,MORECAMBE,LANCASHIRE,ENGLAND,LA3 1UT,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,17/10/2018,31,10,31/10/2022,31/10/2020,MICRO ENTITY,14/11/2019,,0,0,0,0,43341 - Painting,,,,0,0,http://business.data.gov.uk/id/company/11627826,,,,,,,,,,,,,,,,,,,,,30/10/2022,16/10/2021
ANDREW TOWNLEY ELECTRICAL LTD,11569264,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE,9 PENROD WAY,HEYSHAM,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,14/09/2018,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,12/10/2019,,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/11569264,,,,,,,,,,,,,,,,,,,,,25/09/2024,11/09/2023
ANNERTION LTD,13489758,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/07/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,30/07/2022,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13489758,,,,,,,,,,,,,,,,,,,,,10/07/2024,26/06/2023
APLIWYST LTD,14699312,,,18 LORDSOME ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/03/2023,31,3,02/12/2024,,NO ACCOUNTS FILED,30/03/2024,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14699312,,,,,,,,,,,,,,,,,,,,,15/03/2024,
APLYST LTD,14702007,,,18 LORDSOME ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,03/03/2023,31,3,03/12/2024,,NO ACCOUNTS FILED,31/03/2024,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14702007,,,,,,,,,,,,,,,,,,,,,16/03/2024,
APOLLOY (UK) LTD,14428443,,,20 GOLDCREST CLOSE,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2GS,Private Limited Company,Active,United Kingdom,,19/10/2022,31,10,19/07/2024,,NO ACCOUNTS FILED,16/11/2023,,0,0,0,0,64304 - Activities of open-ended investment companies,,,,0,0,http://business.data.gov.uk/id/company/14428443,,,,,,,,,,,,,,,,,,,,,17/10/2024,03/10/2023
AQUARIUS PLUMBING & HEATING (NORTH WEST) LIMITED,11712303,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE,9 PENROD WAY,HEYSHAM,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,05/12/2018,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,02/01/2020,,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id/company/11712303,,,,,,,,,,,,,,,,,,,,,15/12/2023,01/12/2022
AR TESTING SERVICES LIMITED,14351413,,,21 NORTON ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1HA,Private Limited Company,Active,United Kingdom,,12/09/2022,30,9,12/06/2024,,NO ACCOUNTS FILED,10/10/2023,,0,0,0,0,42110 - Construction of roads and motorways,,,,0,0,http://business.data.gov.uk/id/company/14351413,,,,,,,,,,,,,,,,,,,,,25/09/2023,
ARBROS.GARDENS LIMITED,14892653,,,15 LINDSAY COURT,,MORECAMBE,,ENGLAND,LA3 3SP,Private Limited Company,Active,United Kingdom,,24/05/2023,31,5,24/02/2025,,NO ACCOUNTS FILED,21/06/2024,,0,0,0,0,81300 - Landscape service activities,,,,0,0,http://business.data.gov.uk/id/company/14892653,,,,,,,,,,,,,,,,,,,,,06/06/2024,
ARLOCO LTD,14828421,,,3 HAWKSWORTH GROVE,,HEYSHAM,LANCASHIRE,ENGLAND,LA3 1LU,Private Limited Company,Active,United Kingdom,,26/04/2023,30,4,26/01/2025,,NO ACCOUNTS FILED,24/05/2024,,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14828421,,,,,,,,,,,,,,,,,,,,,09/05/2024,
ARROW ENERGY LIMITED,9377699,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,07/01/2015,31,1,31/10/2024,31/01/2023,MICRO ENTITY,04/02/2017,07/01/2016,0,0,0,0,74901 - Environmental consulting activities,,,,0,0,http://business.data.gov.uk/id/company/09377699,,,,,,,,,,,,,,,,,,,,,21/01/2024,07/01/2023
ART NEST LTD,15035915,,,10 FIRST TERRACE,SUNDERLAND POINT,MORECAMBE,,ENGLAND,LA3 3HR,Private Limited Company,Active,United Kingdom,,28/07/2023,31,7,28/04/2025,,NO ACCOUNTS FILED,25/08/2024,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/15035915,,,,,,,,,,,,,,,,,,,,,10/08/2024,
ARTHCKREY LTD,13489900,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/07/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,30/07/2022,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13489900,,,,,,,,,,,,,,,,,,,,,10/07/2024,26/06/2023
ARVERT SHOP MD LTD,14719783,,,101 BOWLAND ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2EP,Private Limited Company,Active,United Kingdom,,09/03/2023,31,3,09/12/2024,,NO ACCOUNTS FILED,06/04/2024,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,96090 - Other service activities n.e.c.,,,0,0,http://business.data.gov.uk/id/company/14719783,,,,,,,,,,,,,,,,,,,,,22/03/2024,
AS DERRY LIMITED,10676260,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,17/03/2017,30,6,31/03/2024,30/06/2022,MICRO ENTITY,14/04/2018,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,81100 - Combined facilities support activities,,0,0,http://business.data.gov.uk/id/company/10676260,,,,,,,,,,,,,,,,,,,,,24/12/2023,10/12/2022
ASECCA LIMITED,8140380,,,43 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,12/07/2012,30,6,31/03/2024,30/06/2022,TOTAL EXEMPTION FULL,09/08/2016,12/07/2015,3,0,0,3,46520 - Wholesale of electronic and telecommunications equipment and parts,,,,0,0,http://business.data.gov.uk/id/company/08140380,,,,,,,,,,,,,,,,,,,,,28/08/2024,14/08/2023
ASHTON HOMES (LANCASHIRE) LIMITED,6211406,,,11 AIRE CLOSE,GROSVENOR PARK,MORECAMBE,,,LA3 3SA,Private Limited Company,Active,United Kingdom,,13/04/2007,30,4,31/01/2024,30/04/2022,TOTAL EXEMPTION FULL,11/05/2017,13/04/2016,3,2,0,1,41100 - Development of building projects,,,,0,0,http://business.data.gov.uk/id/company/06211406,,,,,,,,,,,,,,,,,,,,,24/04/2024,10/04/2023
ASPHALT PAVING SERVICES LIMITED,7376796,,,THE BUNGALOW,WESTCLIFFE DRIVE,MORECAMBE,LANCASHIRE,,LA3 3NP,Private Limited Company,Active,United Kingdom,,15/09/2010,30,9,30/06/2024,30/09/2022,MICRO ENTITY,13/10/2016,15/09/2015,0,0,0,0,42110 - Construction of roads and motorways,"74909 - Other professional, scientific and technical activities n.e.c.",,,0,0,http://business.data.gov.uk/id/company/07376796,,,,,,,,,,,,,,,,,,,,,29/09/2023,15/09/2022
ASSETLIGHT LIMITED,2458264,,,THE ESTATE OFFICE VICKERS INDUSTRIAL ESTATE,MELLISHAW LANE,MORECAMBE,LANCASHIRE,,LA3 3EN,Private Limited Company,Active,United Kingdom,,10/01/1990,30,9,30/06/2024,30/09/2022,MICRO ENTITY,28/01/2017,31/12/2015,1,0,0,1,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/02458264,,,,,,,,,,,,,,,,,,,,,14/01/2024,31/12/2022
AST PLATINUM LIMITED,14999194,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,12/07/2023,31,7,12/04/2025,,NO ACCOUNTS FILED,09/08/2024,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/14999194,,,,,,,,,,,,,,,,,,,,,25/07/2024,
ASTON COX PROPERTY LIMITED,10477905,,,LANCASTER HONDA NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3PA,Private Limited Company,Active,United Kingdom,,15/11/2016,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,13/12/2017,,0,0,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10477905,08/12/2016,ASTON FOX PROPERTY LIMITED,,,,,,,,,,,,,,,,,,,28/11/2023,14/11/2022
ATHENA BLUE LTD,13629959,,,10 FIRST TERRACE,SUNDERLAND POINT,MORECAMBE,,ENGLAND,LA3 3HR,Private Limited Company,Active,United Kingdom,,18/09/2021,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,16/10/2022,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/13629959,,,,,,,,,,,,,,,,,,,,,09/08/2024,26/07/2023
ATLANTIC HOUSE RESIDENTS' ASSOCIATION (MORECAMBE) LIMITED,1187599,,,ATLANTIC HOUSE,57 SANDYLANDS PROMENADE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 1DW,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,17/10/1974,31,12,30/12/2023,31/12/2021,MICRO ENTITY,07/03/2017,07/02/2016,0,0,0,0,68201 - Renting and operating of Housing Association real estate,,,,0,0,http://business.data.gov.uk/id/company/01187599,,,,,,,,,,,,,,,,,,,,,01/04/2024,18/03/2023
ATLAS REMOVAL SERVICES LIMITED,4888875,,,UNIT 6A MAJOR INDUSTRIAL ESTATE,MIDDLETON ROAD,HEYSHAM,LANCASHIRE,,LA3 3NT,Private Limited Company,Active,United Kingdom,,05/09/2003,31,10,31/07/2024,31/10/2022,TOTAL EXEMPTION FULL,03/10/2016,05/09/2015,0,0,0,0,49420 - Removal services,,,,0,0,http://business.data.gov.uk/id/company/04888875,,,,,,,,,,,,,,,,,,,,,03/03/2024,18/02/2023
ATMAMANAGEMENT LTD,13499962,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE,9 PENROD WAY,HEYSHAM,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,08/07/2021,31,7,30/04/2024,31/07/2022,DORMANT,05/08/2022,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13499962,,,,,,,,,,,,,,,,,,,,,21/07/2023,07/07/2022
AVENSIS HOSPITALITY (HOTELS) LTD,14006290,,,33 WALKER GROVE,HEYSHAM,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2DE,Private Limited Company,Active,United Kingdom,,28/03/2022,31,3,31/12/2024,31/03/2023,DORMANT,25/04/2023,,0,0,0,0,55100 - Hotels and similar accommodation,,,,0,0,http://business.data.gov.uk/id/company/14006290,,,,,,,,,,,,,,,,,,,,,10/04/2024,27/03/2023
AVENSIS HOSPITALITY LTD,8606891,,,33 WALKER GROVE,HEYSHAM,MORECAMBE,,,LA3 2DE,Private Limited Company,Active,United Kingdom,,12/07/2013,31,7,30/04/2024,31/07/2022,MICRO ENTITY,09/08/2016,12/07/2015,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/08606891,,,,,,,,,,,,,,,,,,,,,25/07/2024,11/07/2023
AVENSIS HOSPITALITY SOLUTIONS LTD,8672611,,,8 REDSHANK DRIVE,,HEYSHAM,LANCASHIRE,,LA3 2DE,Private Limited Company,Active,United Kingdom,,02/09/2013,30,9,30/06/2024,30/09/2022,MICRO ENTITY,30/09/2016,02/09/2015,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/08672611,,,,,,,,,,,,,,,,,,,,,27/09/2024,13/09/2023
AVISON TELECOM LTD,14218755,,,12 TIBICAR DRIVE EAST,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2AR,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,06/07/2022,31,7,06/04/2024,,NO ACCOUNTS FILED,03/08/2023,,0,0,0,0,43210 - Electrical installation,43290 - Other construction installation,71200 - Technical testing and analysis,,0,0,http://business.data.gov.uk/id/company/14218755,,,,,,,,,,,,,,,,,,,,,19/07/2023,
AW PROJECT PLANNING LTD,6968923,,,"FLAT 2, 202 HEYSHAM ROAD",HEYSHAM,MORECAMBE,,ENGLAND,LA3 1NL,Private Limited Company,Active,United Kingdom,,21/07/2009,29,7,29/04/2024,29/07/2022,MICRO ENTITY,18/08/2016,21/07/2015,4,2,0,2,63990 - Other information service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/06968923,12/01/2018,IMPERIUM PROPERTIES LTD,27/11/2012,AW PROJECT PLANNING LIMITED,,,,,,,,,,,,,,,,,04/08/2023,21/07/2022
AWL DEVELOPMENTS LTD,5768956,,,UNIT 4 STEVANT WAY,WHITE LUND,MORECAMBE,LANCASHIRE,,LA3 3PU,Private Limited Company,Active,United Kingdom,,04/04/2006,30,4,31/01/2024,30/04/2022,TOTAL EXEMPTION FULL,02/05/2017,04/04/2016,1,1,0,0,41201 - Construction of commercial buildings,,,,0,0,http://business.data.gov.uk/id/company/05768956,,,,,,,,,,,,,,,,,,,,,18/04/2024,04/04/2023
BACKWARDS HOLDING COMPANY LIMITED,14247171,,,51 YORKSHIRE STREET,,MORECAMBE,,ENGLAND,LA3 1QF,Private Limited Company,Active,United Kingdom,,20/07/2022,31,7,20/04/2024,,NO ACCOUNTS FILED,17/08/2023,,0,0,0,0,10520 - Manufacture of ice cream,,,,0,0,http://business.data.gov.uk/id/company/14247171,,,,,,,,,,,,,,,,,,,,,24/09/2024,10/09/2023
BALLTEC LIMITED,5188491,,,UNIT 2B,THE GATEWAY,MORECAMBE,LANCASHIRE,,LA3 3PB,Private Limited Company,Active,United Kingdom,,23/07/2004,31,12,30/12/2023,31/12/2021,TOTAL EXEMPTION FULL,17/10/2016,19/09/2015,10,0,0,10,71129 - Other engineering activities,,,,0,0,http://business.data.gov.uk/id/company/05188491,,,,,,,,,,,,,,,,,,,,,03/10/2024,19/09/2023
BARBOUR INVESTMENT LTD,15017207,,,9 GRAFTON ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1SA,Private Limited Company,Active,United Kingdom,,20/07/2023,31,7,20/04/2025,,NO ACCOUNTS FILED,17/08/2024,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15017207,,,,,,,,,,,,,,,,,,,,,02/08/2024,
BARDEN HOUSE LIMITED,13411574,,,29 MORECAMBE ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3AA,Private Limited Company,Active,United Kingdom,,20/05/2021,31,8,31/05/2024,31/08/2022,MICRO ENTITY,17/06/2022,,0,0,0,0,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",,,,0,0,http://business.data.gov.uk/id/company/13411574,,,,,,,,,,,,,,,,,,,,,02/06/2024,19/05/2023
BAREWOOD JOINERY LIMITED,6679221,,,22 LOWTHER AVE,,MORECMABE,LANCASHIRE,ENGLAND,LA3 3AH,Private Limited Company,Active,United Kingdom,,21/08/2008,31,8,31/05/2024,31/08/2022,MICRO ENTITY,18/09/2016,21/08/2015,0,0,0,0,41202 - Construction of domestic buildings,,,,0,0,http://business.data.gov.uk/id/company/06679221,,,,,,,,,,,,,,,,,,,,,24/08/2024,10/08/2023
BARROWFORD LTD,14104110,,,18 LORDSOME ROAD,,MORECAMBE,,,LA3 1JB,Private Limited Company,Active,United Kingdom,,12/05/2022,31,5,12/02/2024,,NO ACCOUNTS FILED,09/06/2023,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/14104110,,,,,,,,,,,,,,,,,,,,,18/05/2024,04/05/2023
BATHTIME (NORTH WEST) LTD.,5687277,,,UNIT 2D NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3PA,Private Limited Company,Active,United Kingdom,,25/01/2006,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,20/02/2017,23/01/2016,2,1,0,1,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),,,,0,0,http://business.data.gov.uk/id/company/05687277,,,,,,,,,,,,,,,,,,,,,06/02/2024,23/01/2023
BAUTYFLY LIMITED,15085241,,,35 LISTER GROVE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2DG,Private Limited Company,Active,United Kingdom,,21/08/2023,31,8,21/05/2025,,NO ACCOUNTS FILED,18/09/2024,,0,0,0,0,32300 - Manufacture of sports goods,,,,0,0,http://business.data.gov.uk/id/company/15085241,,,,,,,,,,,,,,,,,,,,,03/09/2024,
BAY BEDS ONLINE LTD,14202813,,,UNITS D & E 8 PENROD WAY,HEYSHAM,MORECAMBE,,UNITED KINGDOM,LA3 2UZ,Private Limited Company,Active,United Kingdom,,29/06/2022,30,9,29/03/2024,,NO ACCOUNTS FILED,27/07/2023,,0,0,0,0,"47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",,,,0,0,http://business.data.gov.uk/id/company/14202813,,,,,,,,,,,,,,,,,,,,,12/07/2024,28/06/2023
BAY BUILDING SERVICES LIMITED,2967401,,,UNIT 16C MIDDLEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3BN,Private Limited Company,Active,United Kingdom,,13/09/1994,31,10,31/07/2024,31/10/2022,TOTAL EXEMPTION FULL,11/10/2016,13/09/2015,3,2,0,1,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id/company/02967401,,,,,,,,,,,,,,,,,,,,,27/09/2024,13/09/2023
